trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-149.5231568190357,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-163.49224614847932,"{0: 18, 1: 5, 2: 8, 3: 4, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,11,-70.1111065960396,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-113.62770790445732,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-176.35306548478528,"{0: 10, 1: 6, 2: 4, 3: 4, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-26.175218428143683,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-72.01059714090279,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-21.285271180566905,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-19.9849380511162,"{0: 20, 1: 4, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,4,-33.14789475675756,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-60.91301826260048,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-75.14948343815446,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,5,-20.21785189889708,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,10,7.709886355165253,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,10,-1.8625604287359463,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-1.3163481224382072,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,34.35430124277393,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-15.818651380343528,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,40.391188053111065,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,8,20.341267529512667,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,-64.78685938521113,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,19.469806540964306,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,18,20.74192978404107,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,9,17.446447133026595,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,25.132372464315473,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,7,-10.207136831130025,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",35,25,13.340568516210286,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,-8.38340100019835,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,0,40.28546336802436,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,33.6957510259724,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
