trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9801}",25,4,-73.45904398532926,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 1}",1
2,False,"{'a': 0.3, 'e': 0.970299}",20,0,-110.43412401790901,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.96059601}",25,0,-191.75093933748138,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.3, 'e': 0.9509900498999999}",20,14,-1.752801107557274,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.3, 'e': 0.941480149401}",25,0,-211.0764769349941,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.3, 'e': 0.9320653479069899}",25,0,-201.5667866187804,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.3, 'e': 0.9227446944279201}",20,0,-85.5968172186911,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.9135172474836408}",20,0,-119.17504167287785,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.9043820750088044}",25,0,-132.12437592704853,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.8953382542587164}",25,0,-187.43630739986227,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.3, 'e': 0.8863848717161292}",30,0,-130.88217617703853,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.3, 'e': 0.8775210229989678}",20,0,-95.94884210311973,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.3, 'e': 0.8687458127689782}",20,0,-157.84650680235492,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.3, 'e': 0.8600583546412884}",30,0,-206.82098712796122,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
15,False,"{'a': 0.3, 'e': 0.8514577710948755}",20,8,5.7569788570537535,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.3, 'e': 0.8429431933839268}",20,0,-77.86564041758339,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.3, 'e': 0.8345137614500875}",20,4,-70.87370756144685,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 0.3, 'e': 0.8261686238355866}",20,3,-30.773105538203573,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.3, 'e': 0.8179069375972308}",20,0,6.821332739781841,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.3, 'e': 0.8097278682212584}",25,0,-195.0167798766059,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
21,False,"{'a': 0.3, 'e': 0.8016305895390459}",20,0,-97.10377413953107,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.3, 'e': 0.7936142836436554}",20,0,-83.50978048171467,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.3, 'e': 0.7856781408072188}",25,0,-131.37282850024488,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
24,False,"{'a': 0.3, 'e': 0.7778213593991467}",35,0,-111.68835443441192,"{0: 23, 1: 3, 2: 6, 3: 3, 4: 0}",0
25,False,"{'a': 0.3, 'e': 0.7700431458051551}",25,0,-63.53587995442129,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.3, 'e': 0.7623427143471035}",25,13,-36.50851988143929,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
27,False,"{'a': 0.3, 'e': 0.7547192872036325}",20,7,-30.012672877272955,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
28,False,"{'a': 0.3, 'e': 0.7471720943315961}",20,0,-57.96787488604002,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
29,False,"{'a': 0.3, 'e': 0.7397003733882802}",25,0,-64.80384582747963,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
30,False,"{'a': 0.3, 'e': 0.7323033696543975}",25,6,-126.46182155051055,"{0: 8, 1: 6, 2: 3, 3: 0, 4: 2}",1
31,False,"{'a': 0.3, 'e': 0.7249803359578535}",20,6,-3.8046208125236753,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.3, 'e': 0.7177305325982749}",35,0,-50.55538121518676,"{0: 28, 1: 3, 2: 3, 3: 0, 4: 1}",1
33,False,"{'a': 0.3, 'e': 0.7105532272722921}",20,0,-2.9970239821520868,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.3, 'e': 0.7034476949995692}",20,14,10.400115153559867,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.3, 'e': 0.6964132180495735}",20,0,-65.04754272966585,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
