trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.04057867282665,"{0: 17, 1: 5, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.6358354095421,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.29446999862785,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,5,-97.49378778355167,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.93460549341373,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,13,-39.27992313980317,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.5014029134827,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.44235944140094,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.41700699241339,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.31810297121064,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-90.34868272936731,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.85741211593142,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.60174318384276,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,11,-26.915942680378226,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-80.76926892574077,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.18173889357914,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.67832427865841,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.48681867063931,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.98693692897032,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.14002605000832,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
